Id,Date,University,Degree,Country,City,Do you understand that this is a paid course ?...3,Course Fee Email,Payment,Payment Receipt Sent,How did you hear about this course?,Gender,Age,Are you currently attending University / College?,Have you taken any foundational course in data science / econometrics / statistics / computer science?,"What programming language(s) are you most comfortable in (R, Python, Java, JS, etc.)? If none please type ""None"".",Prior Work Experience in Data Science or Machine Learning,Primary Reason for taking this course?,Do you understand that this is a paid course ?...21,"Prior Formal Education (course teaching or using R, university assignments, coding projects, course work, etc.) in R?","Prior Formal Education (course teaching or using Python, university assignments, coding projects, course work, etc.) in Python?",Prior Work Experience in R.,Prior Work Experience in Python.,"Personal Education or Knowledge (learning R on your own and/or doing personal projects, etc.) in R?",Do you have a LinkedIn Account?,"Do you have any feedback, thoughts, or comments you would like to share?",Latest Degree Completed or in Progress?
1,8/25/2022,University of Illinois,Bachelor of science in marketing and data analytics,Pakistan,Karachi,Yes,Sent,Paid,Yes,From a Friend,Male,23,No,Data Science,Have taken a course in R but not so comfortable. I have just gone through python and find it more doable.,Beginner (0 Years),"I did my major in marketing and due to my extensive interest in the field of analytics I did my minor in data analytics. The courses I took in minor helped me explore my hidden interest for analytics and data visualisation. I really love playing with the data and keenly interested in having a strong hold in this field. Hence, I believe it sounds like a great opportunity to scale my passion and career",Yes,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),TRUE,NA,Bachelors
2,8/22/2022,NED,M.E.,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Female,32,No,Data Science,Python,Beginner (0 Years),Knowledge,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),None,NA,Masters
3,8/22/2022,"Univeristy of agriculture, Faislabad",Msc,Pakistan,Lahore,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,No,None of them,Python,Beginner (0 Years),Learning,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),TRUE,Good,Masters
4,8/22/2022,IOBM,BS Software Engineering,Pakistan,Peshawar,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,All of them,"R, paython",Learner (1 Year or Less),I'm planning to get my Mastet degree in Data Science so this will help me out in that and will get some knowledge and learn new things as well,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,No comments,Bachelors
5,8/22/2022,IBA,Compute Science,Pakistan,Karachi,Yes,Sent,Maybe,NA,Other,Male,23,Yes,Computer Science,Java,Learner (1 Year or Less),"I am really interested in R, python and statistics. I wanted to learn and polish these tools to enhance my Data Science capabilities.",Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Looking forward learning with you. It's an amazing opportunity for me.,Bachelors
6,8/22/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Computer Science,"Java, Python, JS",Learner (1 Year or Less),Learning and experience,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
7,8/22/2022,IOBM,Compute Science,Pakistan,Peshawar,No,Sent,Pending,NA,Linkedin,Male,21,Yes,Data Science,Python and java,Learner (1 Year or Less),I love Data science and i have completed many courses from Coursera and YouTube and more i have done many projects for my learning and this course would help to grow and excel my skills in the field of data science,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),TRUE,NA,Bachelors
8,8/22/2022,SMIU,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,Other,Male,20,Yes,Computer Science,None,Beginner (0 Years),To learn new things,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,-,H.S.C
9,8/22/2022,Bahri,Compute Science,Pakistan,Islamabad,No,Sent,Pending,NA,Linkedin,Male,20,Yes,Computer Science,"Python , JavaScript , C++",Intermediate (2-3 Years),Revision of my foundation skills and development of industry best practices,No,Beginner (0 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,NA,Bachelors
10,8/22/2022,IBA,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,Linkedin,Male,24,No,All of them,R and Python,Beginner (0 Years),Professional growth,No,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),TRUE,NA,Bachelors
